Počet obyvatel v obcích České republiky k 1. 1. 2018,,,,,,,,,
"Population of municipalities of the Czech republic, 1 January 2018",,,,,,,,,
,,,,,,,,,
Kód   Code,,"Název obce
Name of municipality",Počet obyvatel   Population,,,Průměrný věk  Average age,,,
okresu,obce,,celkem,muži,ženy,celkem,muži,ženy,
LAU 1,LAU 2,,Total,Males,Females,Total,Males,Females,
,,,,,,,,,
CZ0100,554782,Praha,1294513,629550,664963,41.9,40.5,43.3,
Okres Benešov,,,,,,,,,
CZ0201,529303,Benešov,16522,7906,8616,42.6,41.0,44.0,
CZ0201,532568,Bernartice,233,113,120,44.3,47.5,41.2,
CZ0201,530743,Bílkovice,207,104,103,43.2,42.7,43.7,
CZ0201,532380,Blažejovice,116,54,62,45.9,43.2,48.2,
CZ0201,532096,Borovnice,84,40,44,45.3,46.8,44.0,
CZ0201,532924,Bukovany,770,382,388,39.7,40.6,38.9,
CZ0201,529451,Bystřice,4370,2169,2201,41.3,40.4,42.3,
CZ0201,532690,Ctiboř,133,68,65,37.8,38.3,37.3,
CZ0201,529478,Čakov,124,63,61,39.2,38.6,39.9,
CZ0201,529486,Čechtice,1384,670,714,42.5,41.0,43.8,
CZ0201,529516,Čerčany,2822,1423,1399,41.5,40.5,42.4,
CZ0201,529532,Červený Újezd,329,163,166,42.1,41.5,42.7,
CZ0201,529541,Český Šternberk,155,72,83,44.8,44.2,45.3,
CZ0201,529567,Čtyřkoly,688,326,362,40.1,40.3,39.9,
CZ0201,532746,Děkanovice,62,32,30,46.0,43.8,48.4,
CZ0201,529621,Divišov,1711,869,842,40.6,38.8,42.4,
CZ0201,529648,Dolní Kralovice,885,440,445,43.7,41.7,45.6,
CZ0201,532151,Drahňovice,98,53,45,36.1,30.7,42.5,
CZ0201,532843,Dunice,65,34,31,44.5,39.7,49.7,
CZ0201,529702,Heřmaničky,722,357,365,42.5,41.8,43.2,
CZ0201,532932,Hradiště,26,15,11,50.4,47.2,54.8,
CZ0201,529737,Hulice,289,141,148,43.0,44.8,41.2,
CZ0201,529745,Hvězdonice,318,163,155,43.8,42.5,45.2,
CZ0201,532886,Chářovice,208,106,102,36.5,35.3,37.8,
CZ0201,532878,Chleby,55,32,23,48.5,47.6,49.7,
CZ0201,532045,Chlístov,361,184,177,40.3,39.1,41.4,
CZ0201,529770,Chlum,129,71,58,44.8,45.0,44.5,
CZ0201,529788,Chmelná,144,81,63,39.4,37.2,42.3,
CZ0201,529796,Chocerady,1257,619,638,41.3,40.2,42.3,
CZ0201,532606,Choratice,69,35,34,45.0,41.5,48.5,
CZ0201,529818,Chotýšany,558,282,276,39.0,38.1,39.9,
CZ0201,532037,Chrášťany,239,114,125,41.2,41.1,41.3,
CZ0201,529842,Jankov,935,430,505,42.7,40.7,44.5,
CZ0201,529851,Javorník,116,61,55,47.7,49.1,46.1,
CZ0201,532134,Ješetice,128,60,68,42.9,40.6,44.9,
CZ0201,531031,Kamberk,136,70,66,49.2,47.3,51.2,
CZ0201,529907,Keblov,181,95,86,44.9,42.6,47.4,
CZ0201,533084,Kladruby,265,144,121,41.6,40.2,43.3,
CZ0201,529931,Kondrac,509,251,258,39.6,39.5,39.8,
CZ0201,529940,Kozmice,317,145,172,39.7,38.8,40.5,
CZ0201,529958,Krhanice,1034,523,511,41.1,39.6,42.7,
CZ0201,529974,Krňany,429,233,196,43.7,42.4,45.2,
CZ0201,529991,Křečovice,782,381,401,41.5,40.3,42.6,
CZ0201,530000,Křivsoudov,439,226,213,42.0,41.7,42.4,
CZ0201,530026,Kuňovice,94,48,46,39.8,38.0,41.7,
CZ0201,530051,Lešany,741,372,369,40.0,39.0,41.1,
CZ0201,530069,Libež,191,95,96,40.5,41.4,39.6,
CZ0201,532258,Litichovice,61,30,31,46.3,42.1,50.3,
CZ0201,530093,Loket,568,287,281,41.3,39.6,43.1,
CZ0201,530107,Louňovice pod Blaníkem,658,332,326,44.9,44.4,45.3,
CZ0201,532193,Lštění,411,217,194,43.3,42.0,44.7,
CZ0201,530115,Maršovice,767,390,377,42.2,40.6,43.9,
CZ0201,530158,Mezno,361,183,178,42.4,41.1,43.8,
CZ0201,530166,Miličín,828,411,417,45.0,43.8,46.2,
CZ0201,530174,Miřetice,189,100,89,39.2,39.1,39.3,
CZ0201,530191,Mnichovice,212,108,104,45.8,42.5,49.2,
CZ0201,530204,Mrač,803,397,406,40.9,40.5,41.3,
CZ0201,530212,Načeradec,1067,552,515,43.5,42.4,44.8,
CZ0201,530263,Nespeky,715,352,363,40.7,40.3,41.2,
CZ0201,530298,Netvořice,1103,546,557,41.4,40.3,42.5,
CZ0201,530301,Neustupov,518,280,238,41.6,42.0,41.3,
CZ0201,530310,Neveklov,2622,1341,1281,40.9,40.6,41.3,
CZ0201,530344,Olbramovice,1236,626,610,41.2,40.2,42.3,
CZ0201,599395,Ostrov,48,29,19,41.9,38.1,47.8,
CZ0201,530352,Ostředek,396,195,201,39.9,38.5,41.3,
CZ0201,533076,Pavlovice,225,104,121,39.6,37.8,41.0,
CZ0201,530409,Petroupim,303,142,161,41.2,40.5,41.9,
CZ0201,532649,Popovice,275,133,142,44.7,45.7,43.8,
CZ0201,530441,Poříčí nad Sázavou,1313,649,664,40.4,38.3,42.4,
CZ0201,530450,Postupice,1333,679,654,41.0,40.2,41.9,
CZ0201,530476,Pravonín,560,283,277,42.2,40.6,43.8,
CZ0201,530492,Přestavlky u Čerčan,372,176,196,39.8,40.7,39.1,
CZ0201,530514,Psáře,127,69,58,44.5,41.7,47.9,
CZ0201,538680,Pyšely,1938,932,1006,39.2,37.6,40.7,
CZ0201,530522,Rabyně,272,130,142,47.3,46.5,48.0,
CZ0201,530531,Radošovice,363,181,182,40.5,42.5,38.6,
CZ0201,530549,Rataje,166,85,81,43.3,41.2,45.5,
CZ0201,532550,Ratměřice,299,156,143,41.6,40.3,43.0,
CZ0201,538710,Řehenice,425,214,211,44.5,44.2,44.7,
CZ0201,532941,Řimovice,227,127,100,40.2,38.4,42.5,
CZ0201,534382,Sázava,3722,1858,1864,44.0,42.2,45.7,
CZ0201,532231,Slověnice,37,20,17,45.1,43.5,47.0,
CZ0201,530611,Smilkov,270,139,131,47.3,43.5,51.4,
CZ0201,532436,Snět,109,60,49,42.5,41.2,44.2,
CZ0201,530638,Soběhrdy,404,205,199,38.6,38.0,39.2,
CZ0201,599387,Soutice,251,119,132,46.1,45.9,46.2,
CZ0201,599379,Stranný,111,60,51,38.8,37.1,40.8,
CZ0201,599361,Strojetice,120,62,58,47.5,46.8,48.2,
CZ0201,530689,Struhařov,893,472,421,39.5,38.1,41.2,
CZ0201,530701,Střezimíř,320,164,156,43.7,43.0,44.4,
CZ0201,530719,Studený,98,52,46,43.4,40.2,47.0,
CZ0201,532509,Šetějovice,57,31,26,46.6,45.6,47.8,
CZ0201,530751,Tehov,344,161,183,38.4,36.6,40.1,
CZ0201,530760,Teplýšovice,527,287,240,36.6,34.8,38.7,
